id,title,start_date,end_date,synopsis,mean,rank,popularity,num_list_users,num_scoring_users,nsfw,media_type,status,genres,num_episodes,source,average_episode_duration,rating,studios,airing_ranking,broadcast_day_of_the_week,broadcast_start_time,start_season_year,start_season_season,statistics_watching,statistics_completed,statistics_on_hold,statistics_dropped,statistics_plan_to_watch,statistics_num_list_users,positive_viewership_fraction,negative_viewership_fraction
42670,Princess Connect! Re:Dive Season 2,2022-01-11,airing,"The members of the Gourmet Guild—Yuuki, Kokkoro, Pecorine, and Karyl—continue to scour the world in pursuit of their goal to seek out all delicious food in existence. However, as their adventures progress, the mysteries behind Yuuki's memories, Karyl's allegiance, and Pecorine's heritage begin to come together—seemingly forming the truth that makes up the world's very foundation.

[Written by MAL Rewrite]
",7.87,753.0,1977,79494,9670,white,tv,currently_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 4, 'name': 'Comedy'}, {'id': 10, 'name': 'Fantasy'}]",12,game,1380,pg_13,"[{'id': 1893, 'name': 'CygamesPictures'}]",11,tuesday,00:00,2022.0,winter,32376.0,8.0,1032.0,1024.0,45071.0,79511.0,0.9741,0.0259
48438,Mahoutsukai no Yome: Nishi no Shounen to Seiran no Kishi,2021-09-10,2022-09-10,"The story takes place shortly before Cartaphilus took a nap and Chise became an auditor at the academy.

Elias and his friends help Chise prepare for the academy, where in the middle of everyday life, Spriggan visits the mansion on a spooky horse with the words, ""The appearance of the ghost hunting association is unusual this time.""

Gabriel, an ordinary boy who just moved from London, was bored of his environment of parting with friends, being in an unfamiliar location, and everything else. Sitting by the window and glancing beyond, he spotted a purple smoke and decided to chase after it, looking to escape his boredom. Though it should not, the world of the boy begins to converge with the wizards, who live on the other side behind a thick veil.

(Source: MAL News)",7.81,859.0,2744,44647,2013,white,ova,currently_airing,"[{'id': 10, 'name': 'Fantasy'}, {'id': 27, 'name': 'Shounen'}, {'id': 36, 'name': 'Slice of Life'}]",3,manga,1371,pg_13,"[{'id': 2205, 'name': 'Studio Kafka'}]",12,NIL,NIL,2021.0,summer,7925.0,1.0,1788.0,156.0,34774.0,44644.0,0.9565,0.0435
966,Crayon Shin-chan,1992-04-13,airing,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon.

Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with.

[Written by MAL Rewrite]",7.74,975.0,2132,70194,34300,white,tv,currently_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 9, 'name': 'Ecchi'}, {'id': 23, 'name': 'School'}, {'id': 42, 'name': 'Seinen'}, {'id': 36, 'name': 'Slice of Life'}]",0,manga,1260,pg,"[{'id': 247, 'name': 'Shin-Ei Animation'}]",13,friday,19:30,1992.0,spring,27035.0,4.0,15122.0,15837.0,12195.0,70193.0,0.5589,0.4411
49123,BanG Dream! Garupa☆Pico Fever!,2021-10-07,airing,The third season of the mini series starring the girls of BanG Dream!,7.69,1097.0,8326,3370,660,white,ona,currently_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 19, 'name': 'Music'}]",0,manga,186,pg_13,[],14,NIL,NIL,2021.0,fall,1937.0,0.0,70.0,64.0,1301.0,3372.0,0.9603,0.0397
51083,Douluo Dalu: Feng Qi Tang Men,2022-02-19,2022-05-14,Twelfth part of Douluo Dalu.,7.63,1251.0,10645,1364,297,white,ona,currently_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 10, 'name': 'Fantasy'}, {'id': 13, 'name': 'Historical'}, {'id': 17, 'name': 'Martial Arts'}]",13,novel,1200,pg_13,"[{'id': 1768, 'name': 'Sparkly Key Animation Studio'}]",15,NIL,NIL,2022.0,winter,996.0,0.0,39.0,23.0,306.0,1364.0,0.9545,0.0455
8687,Doraemon (2005),2005-04-22,airing,"Doraemon (2005) is the most recent anime series based on Fujiko Fujio's manga of the same name. 

It is the 2005 version of 1979 series, with certain changes in the animation and other things.

Doraemon is a cat-like robot who appears in the present to steer Nobita/Noby, who is a dumb, naive and clumsy boy on the right path in order to secure his future. Nobita's love interest is Shizuka Minamoto/Sue, his frenemies are Takeshi Goda/Big G and Suneo/Sneech.

(Source: Wikipedia)",7.6,1317.0,4542,16010,7282,white,tv,currently_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 15, 'name': 'Kids'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 27, 'name': 'Shounen'}]",0,manga,1500,pg,"[{'id': 247, 'name': 'Shin-Ei Animation'}]",16,friday,19:00,2005.0,spring,6579.0,3.0,2655.0,3333.0,3439.0,16009.0,0.626,0.374
42886,Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,2022-03-04,2022-05-13,Continuation of the Ginga Eiyuu Densetsu: Die Neue These series.,7.57,1422.0,5533,9679,208,white,movie,currently_airing,"[{'id': 1, 'name': 'Action'}, {'id': 8, 'name': 'Drama'}, {'id': 38, 'name': 'Military'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 29, 'name': 'Space'}]",3,novel,0,r,"[{'id': 10, 'name': 'Production I.G'}]",17,NIL,NIL,2022.0,winter,1060.0,0.0,73.0,24.0,8522.0,9679.0,0.99,0.01
48553,Akebi-chan no Sailor-fuku,2022-01-09,2022-03-27,"Ever since she was young, Komichi Akebi has always adored sailor uniforms, even going so far as to ask her mother to sew one if she succeeds in getting into her mother's alma mater, Roubai Academy. And thus, when she gets accepted into the prestigious school, Komichi is ecstatic. However, much to her surprise, the middle school no longer uses sailor uniforms as its dress code—making Komichi stand out from her schoolmates. Despite this, Komichi is granted permission to continue wearing the traditional attire. 

With renewed confidence, Komichi meets fascinating classmates as they experience school life together. Under the colorful shower of blossoming prospects, an exciting tomorrow awaits them!

[Written by MAL Rewrite]",7.56,1431.0,1652,103782,16886,white,tv,currently_airing,"[{'id': 23, 'name': 'School'}, {'id': 36, 'name': 'Slice of Life'}]",12,manga,1420,pg_13,"[{'id': 1835, 'name': 'CloverWorks'}]",18,sunday,00:30,2022.0,winter,52305.0,6.0,2075.0,4105.0,45292.0,103783.0,0.9405,0.0595
36064,Fate/Grand Order,2014-12-27,airing,Assorted commercials and collaborations for the Fate/Grand Order mobile RPG. These short animations are posted to Type-Moon's official YouTube channel and advertise the game itself or promote a new game event (eg. Dead Heat Summer Race! for summer 2017). The animation is unique to these commercials and is not present in the mobile game nor in the TV special of Fate/Grand Order.,7.5,1631.0,3438,29553,4911,white,special,currently_airing,"[{'id': 1, 'name': 'Action'}, {'id': 10, 'name': 'Fantasy'}]",0,game,15,pg,"[{'id': 1087, 'name': 'Lay-duce'}]",19,NIL,NIL,2014.0,fall,8337.0,4.0,1675.0,1033.0,18503.0,29552.0,0.9084,0.0916
49587,Wan Sheng Jie 3,2022-01-26,2022-04-06,Third season of Wan Sheng Jie.,7.5,1658.0,9345,2268,226,white,ona,currently_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 6, 'name': 'Demons'}, {'id': 36, 'name': 'Slice of Life'}, {'id': 37, 'name': 'Supernatural'}]",12,web_manga,0,pg_13,[],20,NIL,NIL,2022.0,winter,781.0,0.0,38.0,23.0,1426.0,2268.0,0.9731,0.0269
49571,Tunshi Xingkong 2nd Season,2021-12-29,airing,no_synopsis,7.46,1788.0,11266,1059,212,white,ona,currently_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 24, 'name': 'Sci-Fi'}]",52,novel,1260,no_rating,[],21,NIL,NIL,2021.0,fall,578.0,1.0,24.0,29.0,427.0,1059.0,0.95,0.05
50185,Ryman's Club,2022-01-30,2022-04-10,"The world of corporate badminton is not as easy as it seems. Although considered a former child prodigy, Mikoto Shiratori has not been living up to his potential as a badminton player for Mitsuhoshi Bank. Due to a past incident, Mikoto tries to transition from playing doubles to singles; nevertheless, he fails to produce positive results, much to his employer's dismay.

After being fired from the bank, Mikoto is recruited by the Sunlight Beverage corporate badminton team. Surprisingly, not only do practices start in the evening, but he also has to work in the sales department of the company by day. While this is not a novel arrangement, Mikoto had thought he was invited solely to play sports. To make matters worse, he is forced to compete in doubles despite his reluctance.

Struggling to adjust to his new professional life, Mikoto begins to doubt his decision to join the company. However, as he learns more about his latest teammates, he might just find the strength necessary to advance his badminton career.

[Written by MAL Rewrite]",7.42,1922.0,2970,39003,5148,white,tv,currently_airing,"[{'id': 30, 'name': 'Sports'}, {'id': 48, 'name': 'Work Life'}]",12,original,1394,pg_13,"[{'id': 839, 'name': 'LIDENFILMS'}]",22,sunday,01:30,2022.0,winter,19252.0,1.0,588.0,794.0,18392.0,39027.0,0.9646,0.0354
49930,Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2,2022-01-09,airing,"Together with his talented aides, the ""Realist Hero"" Kazuya Souma continues his quest of reinvigorating the Elfrieden Kingdom through administrative reform. Having successfully conquered Van—the capital city of the Principality of Amidonia—Kazuya now faces the envoy from Gran Chaos Empire, who wishes to impose punishment for breaching the ban on war established by the Mankind Declaration Treaty. Despite the dire situation, Kazuya sees a path to avoid unnecessary conflict whilst gaining new allies. With his plan being seemingly perfect, the only barrier to success is gaining approval from the envoy.

[Written by MAL Rewrite]
",7.4,1986.0,1407,126558,21579,white,tv,currently_airing,"[{'id': 1, 'name': 'Action'}, {'id': 10, 'name': 'Fantasy'}, {'id': 38, 'name': 'Military'}, {'id': 22, 'name': 'Romance'}]",13,light_novel,1440,pg_13,"[{'id': 7, 'name': 'J.C.Staff'}]",23,sunday,01:30,2022.0,winter,75878.0,22.0,1528.0,1631.0,47547.0,126606.0,0.975,0.025
41884,Ling Jian Zun 4th Season,2020-09-08,airing,Fourth season of Ling Jian Zun.,7.4,1995.0,10003,1779,476,white,ona,currently_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 10, 'name': 'Fantasy'}, {'id': 17, 'name': 'Martial Arts'}, {'id': 22, 'name': 'Romance'}]",180,novel,660,pg_13,"[{'id': 2059, 'name': 'Soyep'}]",24,NIL,NIL,2020.0,summer,1024.0,0.0,79.0,111.0,565.0,1779.0,0.8932,0.1068
47159,Tensai Ouji no Akaji Kokka Saisei Jutsu,2022-01-11,2022-03-29,"The king of Natra has fallen ill, leaving the only hope for his kingdom to his son, Prince Wein Salema Arbalest. Known to be capable and wise, he is the perfect candidate to become the prince regent. However, if the prince has anything to say about the matter, he would rather sell off the Kingdom of Natra to the highest bidder!

Since he wields the authority of the throne, no one can stop Wein from auctioning off the country and using the profits to retire in comfort. All he needs to do is raise the value of the small kingdom to maximize his gains. But whether Wein's grand plan will succeed remains to be seen, as his wit often surpasses even his own expectations—much to the benefit of the oblivious citizens of Natra.

[Written by MAL Rewrite]
",7.4,2014.0,1303,141882,25380,white,tv,currently_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 10, 'name': 'Fantasy'}]",12,light_novel,1452,pg_13,"[{'id': 1687, 'name': 'Yokohama Animation Lab'}]",25,tuesday,22:30,2022.0,winter,82468.0,19.0,1994.0,3444.0,53974.0,141899.0,0.9617,0.0383
48414,Sabikui Bisco,2022-01-11,2022-03-29,"A plague-like wind blows across the arid, sandy expanse of a post-apocalyptic Japan. As it sweeps over the living and nonliving alike, rust is all that remains in its wake. The cause of the catastrophic state of the world is believed to be mushroom spores. Bisco Akaboshi, known as the ""Man-Eating Mushroom,"" is a wanted criminal archer whose arrows instantly grow mushrooms wherever they land. However, he is in truth a ""Mushroom Protector,"" a person who spreads fungi in order to enrich the land and return it to its previous state.

Alongside the crab Akutagawa and young doctor Milo Nekoyanagi, Bisco ventures through the wastelands of Japan searching for the legendary ""Sabikui""—a panacean mushroom said to devour all forms of rust. 

[Written by MAL Rewrite]",7.37,2101.0,1245,149281,24897,white,tv,currently_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 10, 'name': 'Fantasy'}, {'id': 24, 'name': 'Sci-Fi'}]",12,light_novel,1420,pg_13,"[{'id': 2204, 'name': 'OZ'}]",26,tuesday,00:30,2022.0,winter,81987.0,19.0,2446.0,4212.0,60614.0,149278.0,0.9554,0.0446
49040,Lupin III: Part 6,2021-10-17,2022-03-27,"The infamous Arsene Lupin III takes his gang of thieves to Great Britain to investigate the existence of the Raven's hidden treasure. The Raven, an underground society rumored to be pulling the strings behind the British government, has evaded Lupin's grasp for nearly 10 years. But finding clues proves difficult when he is pursued by not only Interpol's Inspector Kouichi Zenigata but also the MI6, Scotland Yard, and Britain's finest: the consulting detective Sherlock Holmes, who appears to have his own score to settle with the gentleman thief.

[Written by MAL Rewrite]",7.36,2154.0,4508,16355,1658,white,tv,currently_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 4, 'name': 'Comedy'}, {'id': 7, 'name': 'Mystery'}, {'id': 42, 'name': 'Seinen'}]",24,manga,1370,pg_13,"[{'id': 73, 'name': 'TMS Entertainment'}]",27,sunday,00:55,2021.0,fall,5126.0,0.0,448.0,374.0,10407.0,16355.0,0.9497,0.0503
41409,Wushen Zhuzai,2020-03-08,airing,"The protagonist Qin Chen, who was originally the top genius in the military domain, was conspired by the people to fall into the death canyon in the forbidden land of the mainland. Qin Chen, who was inevitably dead, unexpectedly triggered the power of the mysterious ancient sword.

Three hundred years later, in a remote part of the Tianwu mainland, a boy of the same name accidentally inherited Qin Chen’s will. As the beloved grandson of King Dingwu of the Daqi National Army, due to the birth father’s birth, the mother and son were treated coldly in Dingwu’s palace and lived together. In order to rewrite the myth of the strong man in hope of the sun, and to protect everything he loves, Qin Chen resolutely took up the responsibility of maintaining the five kingdoms of the world and set foot on the road of martial arts again.",7.35,2196.0,8714,2905,762,white,ona,currently_airing,"[{'id': 1, 'name': 'Action'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 13, 'name': 'Historical'}, {'id': 17, 'name': 'Martial Arts'}]",272,novel,480,pg_13,"[{'id': 2042, 'name': 'Ruo Hong Culture'}]",28,NIL,NIL,2020.0,winter,1635.0,0.0,113.0,179.0,978.0,2905.0,0.8995,0.1005
48997,Fantasy Bishoujo Juniku Ojisan to,2022-01-12,2022-03-30,"Since their days as students, Tsukasa Jinguuji has had incredible luck with women due to his good looks; Hinata Tachibana has had almost none, overshadowed by Jinguuji's brilliance. However, while Jinguuji has never shown interest in the opposite sex, Tachibana is always desperate for a girlfriend. Despite their polar differences, they continue to be best friends even in their thirties as salarymen. 

One night, the two are returning home from a mixer where Jinguuji was the center of attention as usual. In his drunken rambles, a frustrated Tachibana inadvertently wishes to become a beautiful girl with irresistible charm. As if the heavens were listening, a goddess suddenly shows herself before Jinguuji and Tachibana, transporting them to another world to defeat the Demon Lord and simultaneously granting Tachibana's desire.

Tachibana—now in the body of an impossibly perfect woman—has become so attractive that even Jinguuji is captivated. Moreover, Tachibana grows aware of Jinguuji's stunning appearance, finally understanding his popularity. Before they fall in love with each other, the duo must complete their mission or risk remaining prisoners to their infatuations forever.

[Written by MAL Rewrite]
",7.34,2232.0,1872,86245,16821,white,tv,currently_airing,"[{'id': 2, 'name': 'Adventure'}, {'id': 4, 'name': 'Comedy'}, {'id': 10, 'name': 'Fantasy'}]",12,manga,1430,pg_13,"[{'id': 2326, 'name': 'OLM Team Yoshioka'}]",29,wednesday,00:00,2022.0,winter,52414.0,8.0,1435.0,2819.0,29570.0,86246.0,0.9507,0.0493
